,0,1,2,3,4,5,6,7,8,9,10,11
1290,Cnih2,Sntb2,Igflr1,Rrm1,Lrg1,Sntb1,Ank2,1700025G04Rik,Sema4d,Tnfrsf12a,Slc38a9,Ccbe1
1291,Asphd2,Ryr3,Tspan33,Sgip1,Ifitm6,Tm6sf1,Pimreg,Cd37,Lrrn2,Neurl1a,Nfkbie,Cep78
1292,Dkk2,Sox12,Gjc1,Sncb,Fam50a,Dpy19l1,Sncb,Lcn2,Trim34a,Tubb2b,mt-Nd6,Adamts7
1293,Tnfaip2,Cdk14,Evl,Wipf3,Nlrc5,Spock3,Ccl22,Hist1h1d,P2rx1,Gm20522,A230059L01Rik,Prune1
1294,Myo1g,Espl1,Eef1a2,Mapt,Ltbp4,Casc4,Cnih2,Acvr2a,Emsy,Rnf150,Taf6l,Grin1
1295,Cdc42bpb,Il16,Angptl8,Phip,AI467606,Celf6,Arhgap9,Retn,Klf15,Tdp1,Ints6l,Ssu2
1296,Ccdc184,Rbms1,Dhx33,Dnph1,Fam118a,Ripor3,Bmerb1,Bmp4,Sh3pxd2b,Cd79a,Gpnmb,Mest
1297,Adamts15,Nlgn3,BC034090,Dpy19l1,Ogn,Cdh5,Gdap1,Bcas3,Chrdl2,Tek,Hp,Tha1
1298,Npy1r,Napsa,Kif26a,Ltb,Zfp459,Haao,Armcx1,Sln,Capg,Adam11,Sdf2l1,Tubb2b
1299,Ror1,Tmem191c,Shisa3,Myct1,Ssh1,Prkcb,Pou3f3,Rspo3,Fnip1,Ogn,Ints2,Rab26os
1300,Trpm6,Spock3,Ly6m,Kcnab2,Ndufa4l2,Cxcl14,Trim46,Ina,Zbtb20,Igfbp7,Ccl2,Mllt11
1301,Shisa3,Abcc8,Ccdc88a,Rbp4,Acvr2a,Gm43305,Elavl4,Gask1b,Eno3,Snhg10,Cmtm7,Mapk10
1302,Ciita,Serpini1,Rgs13,Apoa4,Tnc,AB124611,Asic2,Cnih2,Ptpn6,Zfp874a,Mga,Dlk1
1303,Lonrf2,Gbp2,Kdm1b,Adssl1,Dok3,Clca4b,C3ar1,Nfix,Ces1e,Il3ra,Chsy3,Rcan2
1304,Mmd2,C1qtnf1,Cox8b,Pstk,Sall2,K230015D01Rik,Ube2c,Col5a3,Plp1,Lamb2,Fosb,Ccl11
1305,C4bp,Pcolce2,Ebf1,Ceacam12,Samsn1,Adamts10,Lst1,Myo5a,Thrsp,Lmo2,Cyp2d12,Mettl5
1306,Nlgn3,Sorbs3,Serpini1,Hoxa10,Sst,Slc18a2,Ctla2b,Zfhx3,Tnfrsf1b,Gatm,Arsg,Tead4
1307,Tenm4,Gng4,Arhgdib,Mok,Rbm4b,Flt4,Kif5a,Rab3il1,Sox12,Art3,Hdhd3,Qpctl
1308,H2-Oa,Lmo2,Camk2n2,Minar2,Tm6sf1,Wfdc17,Flt3,Rnf144b,Cd83,Rabl2,Lcn2,Zfp459
1309,Crmp1,Ttc37,Tcf4,Dennd4a,Mfap5,Tmem173,Angptl8,Spi1,Cd3g,Tent5c,Sntb2,Scgn
1310,Rfc3,Fzd9,Fmo2,Olfr78,4930503L19Rik,Rfc3,Ly6h,Kirrel,Ptprb,Phf21b,Ccl12,Pogk
1311,Il2rg,Map4k2,Cotl1,Nefm,Amigo2,Mill2,Dpp6,H2-DMb2,Nab2,Nfkbie,Ace,Ppp1r14a
1312,Gng10,Mapk10,Igf2,Gm1965,Nuak1,Sfrp2,Bcas3,Rcan2,Pnmal1,Smarcd3,Irf5,Zfp948
1313,Arhgap24,Arhgap9,Clca3a2,Cd40,Gm20522,Syt17,Basp1,Mpeg1,Ccl25,Cttnbp2,Abi3bp,Yrdc
1314,Clca3a2,Elk3,Gm2a,Sln,Steap4,Cd209g,Bcl2a1a,H2-Oa,Il1rl1,Cav1,Lmln,Klk1b4
1315,Ms4a6b,Hvcn1,Ppfibp1,Celf3,Psip1,Cyth4,Serpini1,Fads1,Gm37305,Fap,E130317F20Rik,P2rx1
1316,Fam13c,Spon1,Mapk10,Col15a1,Piga,Tmeff2,Ccl17,Apc2,Ptprc,Igtp,Tctn3,AW551984
1317,Olfml1,Foxk1,Scgn,Unc45b,Unc45b,Map4k1,Rasal3,Rfesd,Arhgap10,Trim7,Sesn3,Npy
1318,Creb5,Itprip,Wdr35,Ptch2,Colec12,Xpo4,Sez6,Rap2b,Srpk3,Mef2c,Adipoq,Nkain4
1319,Parp8,Pnpt1,Apoe,4930503L19Rik,Adgrg3,Fcer2a,Tspyl3,Irgm2,Armcx2,Dock10,Capg,Lyve1
1320,Uhrf1,Mcub,Pstk,Syt17,AB124611,Il22ra2,Apoc3,Rims3,AI838599,Uvssa,Myoc,Eno2
1321,Slc12a2,Rgs14,Dnm1,Lipe,Lin37,Vegfc,Snapc4,Steap4,Dpysl5,Cd1d1,Ang4,Retn
1322,Sncb,Slc5a7,Tagap1,P2rx1,Gamt,Snhg16,Cpne4,Fosb,Agtr1a,Lacc1,Nav2,Ppie
1323,Nhsl2,Tmem132a,Megf6,Nr2f1,Ms4a4c,Lyl1,Nefm,Kras,Ciita,Rab3il1,Pcsk4,Hoxb8
1324,Sln,Cd68,Gprasp2,Pdyn,Syk,Cd209f,Zfpm1,Ubd,Ppm1f,Palm,Aldh1a2,Dhdh
1325,Dok3,Bhlhe41,Tenm4,Osr2,Haao,Asic2,Sv2a,Ebf1,Syt6,Nab2,Mmrn1,BC034090
1326,Prdm6,Icam2,Mest,Ptprcap,Ptger1,Cyp4f18,Scnn1g,Ulk2,Insrr,Gpr19,Lin37,Vtn
1327,Pkn3,Gjc2,Ip6k2,Ets1,Lyl1,Apoc1,Syt1,Gja4,Ighm,St3gal1,Brf1,Arhgap10
1328,Dmkn,Hoxb4,Gli1,Sox17,Fcrla,Rapgef3,Ttc9b,Rprml,Kif5c,Mxra7,Espl1,Ptger1
1329,Tceal5,Rnf150,F13a1,Cd2,Cd79a,Gsta3,Phox2b,K230015D01Rik,Colec12,Ccdc102a,Thrsp,S100z
1330,Cd53,Mapt,Entpd3,Caskin1,Ecm2,Ebf1,Anxa8,Cd93,Serpini1,Aplp1,Arhgdib,Tmeff2
1331,Rab3c,Ngf,Igf1,Abcd2,Bhlhe41,Cd19,Ighg2b,Zgpat,Tmod2,Armcx2,Higd1b,Phactr1
1332,Morn4,Slc18a2,Spib,Pla2g6,Tet2,Gins3,Iglv1,Cfd,Map3k20,Pid1,Zbtb11,Alg14
1333,Itgb7,Napb,Atl1,AI838599,Tenm4,Def6,Scn11a,Mn1,Malt1,Serpine2,Gbp6,Ptprs
1334,Pou3f3,Sertad4,Col20a1,Fgf10,Pced1b,Kif5c,Trmt9b,Tmx4,Pogk,Btbd9,Pcolce2,Snap91
1335,C1qtnf9,Utp15,Itpr2,Pimreg,1700029I15Rik,Unc45b,1010001B22Rik,Fam83d,Rprml,Rdx,Igflr1,Crabp1
1336,Sox18,Ror1,Fktn,Necab2,Serpina9,Fosb,Ms4a6b,Prkd3,Xcl1,Slfn2,Cep63,2810410L24Rik
1337,Ap1m1,Zfp992,Dock9,Irf4,Ripor3,Vps13c,Sema3f,Wfdc17,Dcaf10,Fstl3,Car5b,Mogs
1338,Cp,Vegfc,Slc2a3,Lrsam1,Cd79b,Tctn3,Lrsam1,Vamp1,Cldn5,Kat2b,C2cd2,Apoa1
1339,Acsl6,Serpina9,Peg3,Sag,Gja1,Sox17,Fam72a,Cdk14,Ina,Arhgap10,Lbp,Nudt13
1340,Arhgap22,Enpep,Arrdc2,Kif5c,Gzma,A930024E05Rik,Rtn1,Slc18a2,Apoa4,Colec12,A930024E05Rik,Arhgap23
1341,Cps1,Pogk,Cplx1,Efemp1,Icam2,Spire1,Rcn1,Arhgdig,Aldh1a3,Zswim6,Ppan,Dmtn
1342,Cybb,Galnt3,AW551984,Ghrl,Htr4,Tie1,Myo1f,Minar2,Ssh1,Rhoj,Fbxo22,Ryr2
1343,Phox2a,Khk,Kcnab2,Gbp7,H2-Oa,Fbxo46,Btbd9,Rgs19,Adgrg6,Itgb7,2810410L24Rik,Chek1
1344,Zfp503,Vtn,Sipa1,Gng4,Dusp14,Osbpl8,Klk1b4,Nog,Apc2,1700030K09Rik,Lipe,Dpysl3
1345,Itgb2,Emilin2,Esco2,Il16,Tnfrsf13c,P2rx1,Fermt3,Pdgfrb,Apol9b,Etv4,Cp,Tmx4
1346,Slc27a1,Syt5,Phox2b,Fmod,Zbtb20,Pfkfb3,1700029I15Rik,R3hdm2,Tceal5,Adcy5,Arsi,Sall2
1347,F2r,Lcn2,Rit2,Grap,Ddr2,Apoc3,Pik3ap1,Ptp4a3,Adgra2,Nup155,Gfpt2,Rgs7bp
1348,Fmnl1,Ly6c2,Syn1,Cyp2e1,A930024E05Rik,Cr2,Nrsn1,Atl1,Paqr7,Itpkb,Zbtb48,Ifit3
1349,Ap3b2,Bglap,Dner,Nrsn1,Nfix,Sik1,Gm48898,Tet2,Dusp6,Rab26os,Vars2,Exph5
1350,Grap,Snn,Snca,Il4i1,Pcsk4,Tdp1,Kif1a,Ltb,Flcn,Matk,Endod1,Shisa7
1351,Evi2a,Slc7a14,Megf9,Bod1l,Cldn23,Tspan32,Shisa7,mt-Nd6,Pyy,Slfn9,Zfp874a,Adnp2
1352,Cacna1b,Morn4,Myo5a,Arrb2,Vtn,Defb45,Cdt1,Sncb,Sv2b,Ints2,Hpf1,Sv2b
1353,Dusp6,Arhgap23,Kctd14,Ints2,5830408C22Rik,Cd209a,Slc5a7,Ppp2r2c,Icam2,Zfp280d,Fcrls,Zfp219
1354,Mmp9,Glmn,Rgl1,mt-Nd6,Pard3b,Pclo,1700030K09Rik,Bahd1,A130010J15Rik,Lipe,Lyl1,Gm10501
1355,Igf2,Kif23,Rbm15b,Adig,Scn3a,Rasgrp4,Snx18,Tceal5,Rims3,Fabp6,Poglut2,Nhej1
1356,Sall2,Cftr,Rab6b,Yipf2,Kptn,Slc6a13,Gm10501,Ighm,Prkcb,Klf7,Pced1b,Nudt3
1357,Itln1,Prc1,Zfp992,Kcnt2,Spi1,Zscan20,Syp,Tm6sf1,Hepacam,Resp18,Ap5z1,Gm4924
1358,Trpv6,Ryr2,Disp2,Jchain,Igf2,Lix1,Me1,Bcl2a1b,Ric1,Ncald,Pirb,Fignl2
1359,Bmerb1,Pimreg,Sfrp5,Ube2c,Ghrl,Scgn,Hs3st2,Kif2a,Slc39a13,Piwil4,Ephb4,Cavin2
1360,Hcls1,Col9a2,Ndufa4l2,9230112E08Rik,Hacd4,Tead4,Nptxr,Phox2a,Rfesd,Gcfc2,Polr3b,Fstl3
1361,Ctla2a,Trbc2,Gm15848,Banp,C4bp,Intu,Arl4c,Afap1,Itprip,Gbp7,Gin1,Creb5
1362,Aldh1a2,Rprd1a,R3hdm1,Syt6,Bahd1,Ntrk3,Gpr137b,Igf1,Fstl3,Ptprcap,Pear1,Sema3g
1363,Steap4,Snx18,Klf7,Hpn,Traf2,Hoxb5,Slc10a4,Sez6,Ms4a7,Pld2,Ltc4s,Angptl7
1364,Rims3,Slc10a4,Syngr3,Ripor3,Klk1b4,Sox18,Rnase6,Cyp4f18,mt-Nd6,Dpp10,Wipf1,C2cd4b
1365,Adcy7,Gja4,Necab2,Ces1g,Pik3c2a,Fcrl1,Plk1,Mef2c,Adgrb2,Itgax,Fndc1,Ccna2
1366,9230105E05Rik,Snca,Rcsd1,Bmerb1,Ssbp2,Mab21l1,Cd48,Spock3,Zfhx3,Csnk1g1,Zfp956,Slpi
1367,Traf2,P2rx7,Klf15,Fsd1l,Lipe,Xk,Gpr183,Pnmal1,Bod1l,Egr1,Fendrr,Cd209g
1368,Plk3,Galnt15,Reep1,Camp,Apol9b,Nuak1,Traf2,Cd40,Scgn,Igfbp4,Adamts7,Rabl2
1369,Gm48898,Adgrg3,Syt1,Sntb1,B230354K17Rik,Serpina9,Chrna3,Clec3b,Pdzd8,Slco3a1,Jmjd7,Higd1b
1370,Cd1d1,Tia1,Snhg11,Nup155,Olfml1,Ccl12,Scai,Tie1,Ankrd28,Alkbh8,Prdm6,Ankrd12
1371,Tle2,Ccdc88a,Rspo3,Tap1,Zscan20,Sv2b,Bcap29,C1qtnf1,C2cd4b,Rgs13,Reln,Rspo3
1372,Ptprn,Uros,Insl6,Ccdc88b,Renbp,Arsi,1110051M20Rik,Entpd1,Rbms1,Trbc1,Ccr10,Pura
1373,Inpp5d,Fmo1,S100g,Rgcc,Abcd2,Cd36,Kcnip1,Hcls1,Pla2g4c,Mdfic,Trim21,Ddah2
1374,Car11,Cd53,Zzz3,Zfp707,Zfp668,Dnph1,Nhlrc1,Syt6,Klf7,Gstp3,Dok3,Ntrk3
1375,Dnmt1,Gm42031,Cytl1,Zfp668,Pld2,Dnm1,Stc2,Garnl3,Zfp523,Hmcn2,Reg4,Lonrf2
1376,Napsa,Steap4,Pxdc1,Lonrf2,Me1,Otud3,Ret,Ngf,Ecm2,C9orf72,Dut,9430065F17Rik
1377,Mpeg1,Gm15848,Elk3,Pard3b,Alox5ap,Klf15,Carmil3,Xcl1,Fosb,Ppp1r15a,Zfp280d,Chsy3
1378,Adgrg3,Cenpe,Cdk5rap2,Ly6d,Mfng,Chsy3,Chn1,Lhfpl5,Neurl4,Epha7,Yod1,Gm20939
1379,Lrg1,Ramp2,Srek1,Napb,Mmd,Ssu2,Peli3,Esam,C1qtnf1,Zfp532,Icam1,Lrsam1
1380,Cd40,Mn1,Ubiad1,Ccl7,Adamts1,H2-Oa,Cybb,Ppp1r1a,Piga,Piga,Tnrc6b,Sez6l
1381,Nog,H2-DMb1,Syt5,Bex1,Fgf10,Fcrla,Clba1,Cps1,C330018D20Rik,Rgs19,Lyve1,Acaca
1382,Syn1,Tle2,Vegfc,Cd52,Slc6a13,Sell,Morn4,Cd3g,Itgax,Cybb,Rap2b,Enpp3
1383,Sertad4,Dpp6,Arf2,Rims3,Dhdh,Mettl14,Rbm15b,Sox18,Armc1,Ddx60,Cyp2e1,Slfn9
1384,Arsi,Vstm2l,Gfap,Gpr183,Nab2,Tek,Ptprc,Adgrb2,Egflam,Renbp,Notch3,Ror1
1385,Ghr,Nup43,Plxnd1,Mcub,Pdzd8,Dclk1,Fbxo46,Napb,Arhgap23,Trbc2,Lpin2,Cadm3
1386,Lrrc32,Rrm2,Xpo1,Dner,Taf12,Trmt9b,Fam118a,Mmp9,Ryr3,Ncam1,Fam102b,Nr4a2
1387,Itprip,Cd209f,Arl4d,Napsa,Ighg3,Stx18,Wdr6,Ssh1,Coro1a,Xpo4,Rabgef1,Pqlc1
1388,Limd2,Mest,Utp15,Hp,Itm2a,Scn3a,Csta1,Glipr2,Ppp2r2c,Rundc3a,Adrb2,Gda
1389,Gprasp1,Atl1,Fyn,Supt16,Camk2n2,Rap2b,Iglc3,Phactr1,Elovl5,Ttr,Otud3,Mab21l1
1390,Ppm1l,Sema4d,Med12,Pou3f3,Sntb2,Arl5c,Rad54b,Fmo1,Rab34,2610008E11Rik,Faah,Esco2
1391,Hepacam,Esco2,Htr3a,Isx,Siglecg,Fam72a,Vgf,Itprip,Pan3,E2f3,Ccl24,P2rx2
1392,Adgrb2,Gli1,Ifi47,Dok3,Il4i1,Fmnl1,5830408C22Rik,Hsd11b1,Myct1,Abraxas1,Entpd1,Nog
1393,P2rx7,Iglc3,Sprr1a,Abcc8,Sv2b,Apol9b,Rprml,Entpd3,Qpctl,Dck,Sik1,Moxd1
1394,Snn,Frem2,Supt16,St3gal1,Zfp217,Carmil3,Plxnb1,Morn4,Elp2,Mllt11,Snx18,Gucd1
1395,Pcolce2,Dse,C630043F03Rik,Arhgap45,Kif2a,Fsd1l,Slc18a3,Fat4,Flt4,Rfx5,Kat2b,Trpv6
1396,Scg3,Scara5,Arhgef38,Adgre1,Rgs19,Siglecg,Rian,Fendrr,Dner,Nkd2,Cfp,Camp
1397,Prpf40b,Ssbp2,Brd8,Iglc3,Adssl1,Ipo9,Myb,Ctse,Esam,Rab3b,Itga4,Nr2f1
1398,Arhgdig,Hap1,Cav2,Tdp1,Ighg2c,Ms4a1,Pclo,Mfap5,Trbc2,Gimap3,AI854703,Rprml
1399,Sfrp4,Kdm1b,Leo1,Itgam,Swt1,Bank1,Ulk2,Apoc3,Dtx1,Ercc6,Rassf5,Caskin1
1400,Slc7a4,Fgd2,Icam1,Fbxo46,Cldn5,Iigp1,Tceal5,Lrch2,Apoc3,Cd79b,9230112E08Rik,Gjc1
1401,Ina,Grk3,Hacd4,Slc10a4,Vamp1,Tnfrsf13c,Ccdc9b,Sntb2,B3gnt9,G0s2,Ankrd28,Apoa4
1402,Adgrg6,Bmp1,Tnfrsf11b,Hcls1,Akap12,Zfp58,Tmem273,Srpk3,Mn1,B3galt2,Mycl,Ttc9b
1403,S1pr1,Ltb,Cd34,Fosb,Ccbe1,Slc34a2,Ly86,Emb,Sncb,Ms4a6b,Stc2,Fbn1
1404,Il3ra,Ube2d1,Armcx2,Grin1,Bank1,Card11,Plcg1,Rac2,Lipe,Oasl2,Cd36,Zfp820
1405,Gpnmb,Iapp,Dph5,Fnip1,Tcf4,Gpd1,Pdyn,Eef1a2,Tle2,Cck,Adssl1,Gjc2
1406,Kif5c,Shisa3,Vstm2l,Npy,Sertad4,Ifitm6,Rab11fip2,Lix1,Prodh,Jag1,Ifi203,Lix1
1407,Vegfc,Lyz1,Dmkn,Map4k2,Napsa,Shisa3,Zscan20,Dok1,Bdkrb2,Hinfp,Ccl19,Ccl24
1408,Colq,Cps1,Gja4,Hoxb4,Fabp1,9230112E08Rik,Celf4,Slc7a14,Lyz1,Rprd1a,Arl5c,Fnip1
1409,Mageh1,B3gnt9,Fxyd5,1700030K09Rik,Itprip,Cd37,Ifit3,Col9a2,Colq,Enpep,Gpr20,Ank2
1410,Ccr2,Col20a1,Faim2,Ppp2r2c,Tmem108,Abcc8,Gprasp1,Grap,Dmd,Nkd1,Dock9,Kcnt2
1411,Garnl3,Galnt18,Tctn3,Crmp1,Ighg1,Sema3g,Il1rl1,Lrmp,Ets1,Sez6l2,C1ra,Scoc
1412,C1qtnf1,Pip4k2b,Gnl3l,Parp8,Tfrc,Rbm8a2,Irf4,Mmrn2,Cnih2,Plxnb1,Tmem173,Pdyn
1413,Sh3pxd2b,Necab2,Cd79b,Tspyl3,Olfml2b,Msc,Ubd,Serpini1,Itga2b,Fam83d,Apol9a,Ro60
1414,Wdr12,Syn1,Sox10,H2-DMb1,Clcf1,Sema7a,Mycl,Tmem130,Hist1h1d,Mndal,Rad52,Gm1965
1415,Mycl,Snhg11,Fsd1l,Tyrobp,Ppie,Wdr12,Kmt5c,Gbp7,Slc7a14,Angptl8,K230015D01Rik,Sertad4
1416,Fmod,Schip1,Bicc1,Apoa1,Fzd2,Jag2,Fam50a,Ryr2,Bglap,Tle2,Il4i1,Vgf
1417,Ccl7,Slc2a3,Mmp9,Fignl2,Rab11fip2,Ifi209,Map3k15,Scgn,Gimap6,Igf1,Gpm6a,Pcbp3
1418,Hmgb2,Srpk3,Hhip,Spire1,Tek,Zfp668,Lhfpl5,Nudt3,Rbm18,Ctxn1,Il33,Birc5
1419,Ngfr,Dennd2a,Ttc37,Cep78,Cd2,Fktn,Gm47283,Nmu,Zscan26,Ssh1,Gm10501,Reck
1420,Basp1,Garnl3,Elp6,Shisa7,Cxcl13,Traf3ip3,Slc35d3,Hpcal4,Cacnb1,Amigo2,Ctla2b,Gm37305
1421,Ryr3,Kif26a,Chd6,Sez6,Cytl1,Arrb2,Csf2rb,C330018D20Rik,Ryr2,Pcsk4,Greb1,Lyrm7
1422,Klhl21,Klf15,Jag1,Wdr5,Spaca6,Sct,Syngr3,Trip6,Wnk4,Ctxn3,Ccl17,Col20a1
1423,Apbb1ip,Rgs19,Cacna1d,Jph3,Ifit3,P2rx7,Gng2,Snap91,Cacna1b,Jam2,Lrp4,Myoc
1424,Apc2,Zfand1,Hck,Cdca7,Nos3,Susd3,Egln3,Slc5a7,Phox2a,Ro60,Birc6,Asphd2
1425,Lhfpl5,Fgfr4,Dip2c,Ina,Plekho2,Rad54b,Adam8,Sfrp2,Peli2,3100003L05Rik,Pik3ap1,Sgip1
1426,Col9a2,Adamts5,Unc5a,Pla2g4c,2810410L24Rik,Ccl7,Nol6,Cck,Morn4,Cxcl13,Chka,Nts
1427,Cdh5,Mia,Nrtn,Dpysl5,Rbms2,Ccr7,Lmln,Tkfc,Osbpl8,Acpp,Qtrt2,Sephs1
1428,Sgip1,Phip,Ablim2,Pla2g2d,Ccl24,Cherp,Serpina3g,Chrdl2,Cyp4f18,Nfix,Gm37305,Aplp1
1429,Slc18a2,Hacd4,Clca3a1,Dnajc6,Ror1,Lsm2,Stox2,Kdr,Garnl3,Dnm1,Pcdh17,Nme6
1430,Cldn15,Gprasp2,E330009J07Rik,Mab21l1,Car5b,Sgo2a,Aldh1a2,Aldh1a3,Minar2,Bex2,Ighg2c,Fsd1l
1431,Bhlhe41,Cd44,Tmod2,Tmem191c,Pcolce2,Jag1,Scgb3a1,Csf1r,Npc1l1,Ncf4,Zfpm1,Peli3
1432,Sprr2a3,Cnr1,Hoxb4,Pnliprp2,Gm15675,Cd22,Lcp2,Tek,Sez6,Pcdh17,Clca4a,E2f3
1433,Kirrel,Ggt1,Crlf2,Dock10,Eipr1,Ubd,Gas5,Plxnd1,Slc5a7,Hvcn1,Wdr5,Scn11a
1434,Acbd4,Ccdc149,Rassf2,Pld4,Vsir,Spi1,Themis2,Als2cl,Nog,Mamdc2,Grap,Wfdc18
1435,Elp3,Cplx1,Adamtsl1,Tspan32,Pla2g7,Osr1,Zfp459,Nrsn1,Mars,Ric1,Folr2,Reep1
1436,Sox12,Greb1,Ly6d,Ccr7,Klf7,Rabl2,Prg2,Ccl17,Rnf144b,Gimap1,Car3,Ifitm2
1437,Arf2,Nefl,Nptxr,Rasgrp4,Bach2,Gstp3,I830077J02Rik,Gng10,Rassf2,Fads3,Lrg1,Sncb
1438,Nckap1l,Prkcb,Ighg1,Ggt1,Gm13261,Leng9,Tead4,Itm2a,Syt17,Mfge8,Hvcn1,Atl1
1439,Ackr1,Ccl5,Slc18a3,Scgb3a1,Ccr10,Gata2,Slc27a1,Lrat,Lgi2,Pik3cb,Phka2,Olfml2b
1440,Sppl2b,Lhfp,Syt4,Peli3,Adamts7,Il17rb,Fignl2,Gca,Elk3,Apol7c,Ltb4r1,Gin1
1441,Lcn2,Chka,Rab3il1,Piwil4,Msn,Nup85,Mab21l1,Arhgap23,Irgm1,Lrmp,Ripor2,Otud3
1442,Hoxb5os,Cdh2,Mcoln2,Pik3cd,Mfap2,1700029I15Rik,Jph3,Ngfr,Klhl21,Irgm2,Dok2,Tle1
1443,Shmt1,Cck,E2f2,Nuak1,Ncoa7,Ces1d,Snap25,Car3,Mmp7,Spon1,Frem2,Dkk2
1444,Ints6l,Gjc1,P2rx2,Shank3,Mdfic,Asph,Dna2,Nrgn,Sgip1,Tspan9,Apoc1,Hpn
1445,Minar2,Slc18a3,Rps6kb1,Arl4c,Slc12a4,Gimap5,Ppwd1,Ap3b2,Cxcl10,Icam2,Adam8,Anxa8
1446,Gstp3,Sv2a,Arhgap23,Lax1,Ccl19,Syt15,Jag1,Rasl12,Zfp532,Itgb3,Ccdc85c,Asic2
1447,Cbfa2t3,Klf2,Lbp,Ighg2b,Pla2g4c,Tnfrsf23,Sv2b,Ankrd12,Plxnd1,Cd93,Dennd5b,Acsl6
1448,Lyl1,Rcan2,St3gal3,Fmnl1,Gbp7,Ccdc85c,Hspe1-rs1,Six5,Nfix,Abhd17a,Hoxb13,Stox2
1449,Serpina9,B3galt2,Tm4sf4,Chd6,Ackr1,Ltb,Pnmal1,Hspg2,Sap25,Ggt1,Zc3h13,Yipf2
1450,Dok2,Gm17025,Als2cl,Hs3st2,Clba1,Pdgfrb,mt-Nd6,Gimap4,Scnn1g,Bicc1,Il16,Gramd2
1451,mt-Nd4l,Ly6h,Evc2,Basp1,Fbln2,Tmem108,Clca4b,Ttr,Sspn,Plin4,Pstpip1,Hepacam
1452,Lgals12,Dusp14,Elavl4,A930024E05Rik,Adamts5,Cd52,Sag,Calcrl,Rasl12,Sema4d,Tmem191c,Dpysl5
1453,Pfkfb3,BC029722,Sltm,Slc5a7,Pdyn,Samsn1,Klrb1b,Aspn,Zfp217,Anpep,Iigp1,Nhsl2
1454,Irgm2,Syt4,Fgf13,Ighg3,Pik3ip1,Zfp992,Ccl20,Cadps,Col9a2,Zfp956,Spc24,Yod1
1455,Irf4,Pde4b,Map6,Sidt1,Rap2b,Ptprb,Lonrf1,Itgax,Nmu,Gimap9,Lifr,Fam13c
1456,Ptbp2,Fsd1l,Magee1,Celf6,Ighg2b,Ctla2b,Tmem130,Lgi2,Lhfpl5,Cidec,Alkbh8,Sag
1457,Ppp2r2c,Lrrk2,1110051M20Rik,Ptpro,Vegfc,Zfp459,Il10ra,Ccn1,Sulf1,Rusc2,Apc,Melk
1458,Ngf,Pus7,Nefl,Tceal5,Mmp12,St3gal1,Crmp1,Cplx1,Slc46a1,Sirt1,Ccl22,Hoxa7
1459,Syt6,Entpd3,Alg14,Matk,Fcrl1,Sirpa,Scn3a,Lrp11,Ddi2,Fbxl8,Zscan20,Cpne4
1460,Eef1a2,Pbld1,Cnr1,Ms4a4c,Sag,Gm4924,Foxn2,Prkcb,Stra6l,Ppm1f,Dmtf1,Ceacam12
1461,BC034090,Pacsin3,Nudt3,2810410L24Rik,Syngr1,Scgb3a1,Slc18a2,Slc10a4,Znrf1,Aspn,Aqp1,mt-Nd6
1462,Tnfrsf11b,Gm34030,Ptpro,Mettl16,Tspyl3,Gm10501,N4bp2os,Syn1,Mfap2,Wdr12,Cd209f,Pdlim5
1463,Cd209f,Gfap,Fzd9,Pogk,Arsi,Apbb1ip,Vav1,Egflam,Snap91,Mill2,Ddx27,Ndc80
1464,Retn,Lrg1,Zfp532,Tnfrsf23,Mn1,Ncf1,Il17rb,Flt4,Sfrp5,Arsg,Ptch2,Sgo2a
1465,Serpini1,Tff2,Hba-a2,Qpctl,Lcn2,Chek1,Cdc6,Klf2,Igf2,Tmigd1,Ghrl,Gm49980
1466,Wdfy4,Alg14,Jmjd7,Aldoart1,Rassf2,Mycbpap,Clca3a1,Crabp1,Matn2,Evi2a,Nr4a2,Lrp4
1467,Crabp1,Cdk5rap2,Snx18,1010001B22Rik,1110051M20Rik,Folr2,Vars2,Zdhhc17,Fabp1,Utp15,Akna,Mill2
1468,Fzd9,Vcam1,Sorbs3,Chil1,Fat4,Ung,Cep78,Ccdc184,Cd72,Dnase1l3,Tnrc6a,Pid1
1469,Iglc3,Enpp3,Rab3c,C2cd2,A230059L01Rik,Gpr183,Nefl,Tank,Stmn4,Spns2,Cxcl9,Syt1
1470,Mki67,Cd83,Caly,Sstr2,Arhgap23,Kat2b,Arhgap22,Cdh17,Tac1,Celf2,Mir142hg,Sfrp4
1471,Spock3,Dok2,Lcorl,Ankrd28,Adgrg6,Sh2d6,B3galt2,Spire1,Tmem130,Gnl3l,Cytl1,Mdk
1472,Prkcb,Map6,Nom1,Msln,BC034090,Plk3,Necab2,Dmd,Abcg5,Ung,Adgrg3,Pcsk4
1473,Dennd2a,Gm49980,Sephs1,Fcer2a,Nhsl2,Mfap5,Chek1,Dmkn,Ap3b2,Il10ra,Rgs14,Slc27a2
1474,Tmem130,Kcnab2,Tmem132a,Msc,Mok,Gramd2,Lrrk1,Vstm2l,Nexn,Lsp1,Cd72,Tmem164
1475,Pter,Icam1,Dbh,Notch4,Megf6,Dennd4a,Tmem108,Wnt4,1700003I22Rik,Tmem173,Siglecg,Mfap2
1476,Phactr1,Borcs5,Slco4a1,Galnt3,Cd22,Peg3,Nt5e,Dnase1l3,Ccdc184,Ncapd3,Nup43,Pfn2
