,0,1,2,3,4,5,6,7,8,9,10,11
65,Gstk1,Eps8,Rhob,Rras,Stmn1,Bag2,B3gnt7,Ano7,S100a14,Cldn4,Vat1l,Ppp1r18
66,Slc35f5,Ipmk,Gm15401,Synpo2,Ces1f,Tuba1b,Fxyd6,Rap1gap,Mfap5,Ceacam1,Pcsk1n,Tbc1d10c
67,Mfap3l,Sectm1b,Mt1,Anxa6,Ces1d,Pgm5,Tinagl1,Cbs,Clca3b,Sult1b1,Wdr6,H2-Oa
68,Nudt4,Hpgd,Hif1a,Fbln1,Slc39a8,Insl5,Cavin3,Kcnn4,Hoxd13,Wfdc2,Tubb2b,Gimap6
69,Fa2h,Clca4a,Tns4,Jph2,Smim38,Marveld1,Gm42418,Fasn,Gsdmc2,Btg1,Apbb1,Sirpa
70,Slc13a2,Smpdl3a,Rdh16,Cryab,A4gnt,Aspn,Fbln1,AC149090.1,Pdzk1ip1,Prss30,Hand2,Plcg2
71,Ncoa7,Cnnm4,Nt5e,Prelp,Ugt2b5,Tubb6,Cpe,Ewsr1,Pla2g2f,Endod1,Kif1a,Fcmr
72,Sdcbp2,Slc26a2,Endod1,Flnc,Cmah,Pcp4l1,Tgm2,Myb,Ivns1abp,Cyp3a13,Map1b,Vim
73,Pibf1,Apol10a,Trpm6,Igfbp7,Ffar2,Jph2,Igfbp5,Slc1a4,Anxa3,Plac8,Slc22a17,Apobec3
74,Mt1,Clic5,Tmem236,Hspb1,Kcnh3,Ifitm2,Lsp1,Hepacam2,Shmt1,Nudt4,Hand2os1,Il22ra2
75,Krt20,Ly6m,Ceacam20,Serpinh1,St6galnac2,Rgs1,Dmpk,Pbk,Gsta3,Hoxb13,Stxbp1,Spib
76,Prss23,Rhoc,Efna1,Serping1,Noxa1,Itm2c,Synpo2,Neat1,Fut9,Abcb1a,Ahi1,Aif1
77,Bmp3,Papss2,AI854703,Crip2,Guca2b,Cavin1,Pyy,Cenpa,Cxcl12,Tmem37,Ank2,Sipa1
78,Mall,Prss30,Slc46a1,Ltbp4,Neat1,Itga1,Cnn2,Ffar2,Fgfr3,Ceacam20,Syngr1,Dnase1l3
79,Cyp3a13,Gprc5a,Phlpp2,Emp3,Rbp4,Hspb2,Rras,Cracr2a,Il18,Ptn,Cartpt,Csf1r
80,Gm5485,Klf6,Naip1,Lims2,Bambi,Rras,Tgfb1i1,Slc17a9,Ifitm1,Mep1b,Syt1,Nckap1l
81,Gcnt3,Kbtbd11,Abcb1a,Cgref1,Galnt3,Ldhb,Slc25a4,Dmbt1,Birc5,Cdkn1a,Rab6b,Gpsm3
82,Plac8,Tmem236,Noct,Slc24a3,Ube2c,Tln1,Gpx2,Ceacam10,Ube2c,mt-Nd4l,Aplp1,Il4i1
83,Neu1,Ces2c,Cdh17,Ifi27l2a,Duox2,Pbxip1,Wfdc1,Pcsk9,AC149090.1,Insl5,Olfm1,Inpp5d
84,Myo5b,Hsd3b3,Cnnm4,Bcam,Slc1a4,Itga5,Ptn,Gm42031,Mki67,Nt5e,Tmem59l,Csf2rb
85,Slc3a1,Sult1d1,Nudt4,Retnlb,Ano7,Actn1,Crip2,Rasd2,Kcnn4,Slc9a2,Klc1,S100a4
86,Ces2c,Fos,Ifit1bl1,Gpx3,Hoxb9,Rbpms,Tnxb,Fkbp11,Scml4,Rfk,Elavl4,Gimap4
87,Ceacam1,St3gal3,Apobec1,Pgm5,Ivns1abp,Slc2a4,Tln1,Dut,C4b,Cela1,Gng2,Cybb
88,Aspg,Tmem252,Thbs4,Ntn1,Isx,Aqp8,Timp2,Stt3a,Cenpa,Ces2e,Hoxa5,Ciita
89,Slc9a2,Slc6a8,Neat1,Itga1,Tifa,Cav1,Col3a1,Aacs,Tent5c,Sgk1,Flot2,Myo1g
90,Nts,Spink1,Csta1,Ehd2,Reg3b,Angptl2,Grem1,2410002F23Rik,Lyz2,Tns4,Bex1,Enpp2
91,Cdhr5,Lhfpl2,Gcnt1,Timp3,Pqlc1,Cnn2,Selenom,Aqp4,C1qb,4930539E08Rik,Fgf13,Msn
92,Cdh17,Tmigd1,Gsdmc4,Emilin1,Snrpd1,Wfdc1,Tubb5,Cdo1,Cd81,Cyp2c55,Cnr1,Mzb1
93,Sgk2,Ceacam20,Cela1,Tubb5,Cbfa2t3,Nbl1,Igfbp7,Mogs,Lrmp,Eif2s2,Gnao1,Dock10
94,Muc3a,Selenop,Sord,Col1a1,Fabp5,Ehd2,Malat1,Etv5,Unc119,Thbs4,Pea15a,Cmtm7
95,Sectm1b,4930539E08Rik,Eps8,Spdef,Stra6l,Mcam,Col1a1,Fam57a,Creb3l1,Eps8,Maged1,Selplg
