,GF,SPF
574,Clec3b,Zfhx3
575,Cry1,Rfc4
576,Plxnd1,Insrr
577,Susd3,Mcub
578,Thbs3,Elovl5
579,Tmed1,Flna
580,Igf1r,Cav3
581,Lpxn,Cotl1
582,Prpf39,Trim46
583,Scml4,Ache
584,Cyp4f18,Hba-a2
585,Ulk2,Ppp1r15a
586,Polr3b,Trpv6
587,Rad50,Stab1
588,Pter,Pmp22
589,Lmo7,Pamr1
590,Igflr1,Fam98a
591,Mtss2,1700003I22Rik
592,Tnfrsf13c,Tspan9
593,Gm15675,Slit3
594,Tia1,Dmkn
595,Dpysl3,Fam57a
596,Fut9,Serpine2
597,Pls1,Ace
598,Trim44,Nsg2
599,Dcaf10,Tubb4a
600,Samsn1,E2f2
601,Prkcb,Fam135a
602,Ckb,S100b
603,Fcrl1,Alg14
604,Apol10a,Akr1c19
605,Rab3b,Resp18
606,Hps4,Hspb6
607,Zfp58,Hoxb5
608,Tgfbr2,Gatm
609,Tyrobp,Ephb3
610,Gpr132,Angptl7
611,Arhgap23,Rhoc
612,Slc9a3r2,Bex2
613,Mrvi1,Cps1
614,Mlxipl,Vwf
615,Vgf,Cherp
616,Ppm1l,Pacsin3
617,Arrb2,Fabp4
618,Clca4b,Slc24a3
619,Rbp4,Maoa
620,Nckap1l,Adamtsl4
621,Ifi209,Bmp4
622,Ifitm6,Folr2
623,Col20a1,Slc2a4
624,Wdr5,Yipf2
625,Cd40,Ampd2
626,Dennd4b,Ppfia3
627,Eef1a2,Abce1
628,Snapc1,Grk3
629,Pogk,Bcam
630,Cxcl9,Ablim2
631,Sirt1,Bcas3
632,Cox8b,Tipin
633,Adam33,Trappc3
634,Cd2,Prkar1b
635,5730480H06Rik,Scara5
636,Gpsm3,Prc1
637,Sash3,Dpt
638,Nnat,Krt17
639,Rnf32,Myo15b
640,Bend5,Arhgap20
641,Bnip2,Cbfa2t3
642,Cxcr6,Eno2
643,Yrdc,Nme7
644,Myo1f,Fnip1
645,Haao,Adcy5
646,Ltbp4,Thbs2
647,Cnn2,Slfn4
648,Nxpe4,Srpx
649,Ly86,Dnm1
650,Hs2st1,Arhgef28
651,Tent5b,Ccl7
652,Ctsw,Qpctl
653,Fgr,Tnfaip2
654,Ap1m1,Crabp1
655,Trpm6,Tagln3
656,Gpnmb,C1qtnf1
657,Sfrp2,Galnt15
658,Fmnl1,Zfp106
659,2010315B03Rik,Rgs2
660,Dnajb5,Adcyap1r1
661,Elk3,Spon1
662,Ifit3,Sox12
663,Zfp523,Lrig1
664,Nab2,Myo5b
665,Ccdc9b,Tnfrsf1b
666,Anxa8,Syt11
667,Plvap,Fam102b
668,Ctse,Rasd1
669,Apod,Nuf2
670,Pde5a,Fmo2
671,Bank1,Nab1
672,Laptm5,Abca8a
673,Il1rl1,Ipo9
674,Rassf2,6330403K07Rik
675,Cyth4,Rasa3
676,Il3ra,Sgce
677,Cebpb,Wnk2
678,Hepacam,Stk17b
679,Dennd5b,Syngr3
680,Snx7,Nkain4
681,Def6,Elp6
682,Rgs1,Slfn9
683,Rbpms,Vps13c
684,Alox5ap,Nanp
685,B3gnt5,P2rx1
686,Dusp26,Rims1
687,Mall,Gpr19
688,Shisa3,Car11
689,Ccdc102a,Clca3b
690,Rhoh,Kcnq1ot1
691,Muc3,Timp3
692,1110019D14Rik,Sult4a1
693,Snrpd1,Tagap1
694,Stum,Gap43
695,Runx3,Chd6
696,Kcnd3,Cav1
697,Lrrc66,Heg1
698,Bcl2a1a,Arhgap24
699,Pik3cd,Mfap3l
700,Tmx4,Fxyd4
701,Rgs19,Trim35
702,Slc6a13,Lbp
703,Gramd4,Gcc1
704,Creb3l4,Rgma
705,Rasgrp3,Prelp
706,Zfp668,Pfkfb3
707,Myc,Gdf10
708,Pde1b,Tkfc
709,Cd209a,Pgm3
710,Lmod1,A4gnt
711,Tm6sf1,Rbms1
712,Hrh1,Qpct
713,Flt3,Phkb
714,Sulf1,Apoc1
715,Msln,Ndrg4
716,Sfrp5,Kif23
717,Epdr1,Pou2af1
718,Dock10,Epha7
719,Ripor2,Tnfrsf23
720,Vars2,Wscd2
721,Klrb1b,Col23a1
722,Bin2,Armcx2
723,Ap5z1,Abcc1
724,Col5a3,Mdk
725,Hoxb5os,Tpx2
726,Ccl19,Pla2g6
727,Cep63,Mycbpap
728,Igfbp6,Slco3a1
729,Upf2,St3gal2
730,Gbp6,Dusp6
731,Itprip,Mxra8
732,Hoxa9,Tm4sf20
733,Rnase6,Gng2
734,Plekho2,Piwil4
735,Rasgrp4,Ung
736,Ddx27,Adgrl1
737,Clca3a2,Snhg16
738,Gm13261,Pbxip1
739,Cd3g,Ctxn3
740,Cacna1b,Kif12
741,Fam83d,Chp2
742,Hspa1a,Dbh
743,Brd8,Cadm3
744,Zfp958,Kif22
745,Rbm34,Pla2g7
746,Tbp,Rnf150
747,2810410L24Rik,Gstp3
748,Notch4,Rbp2
749,Ifi203,Plat
750,Ssh1,Col14a1
751,Snx18,Zbtb48
752,Bmp2k,Nup43
753,Evl,Cbx6
754,Gli1,Pwwp3a
755,Cc2d2a,Rab6b
756,Satb1,Slc36a1
757,Sla,Cdc42bpb
758,Ccdc14,Caly
759,Hoxd10,Trim25
760,Adgrb1,Rpp14
761,Map4k2,Dhx30
762,Cdc14a,Uros
763,Borcs5,Xpo1
764,Sesn3,Aurka
765,Ppwd1,Sspn
766,Serpina9,Tubb6
767,Apol9a,Kif26a
768,Rcn3,Plcg1
769,Mmrn1,Igf2
770,Ccdc152,Hba-a1
771,Vcpip1,Cdh13
772,Mcf2l,Ak1
773,Ms4a4b,Wdr6
774,Rfc3,Tshz2
775,Dmtf1,Six5
776,Col18a1,Togaram1
777,Faah,Neurod1
778,Dok2,Slc38a9
779,Mir100hg,Zfp532
780,Rfx5,Ccl12
781,Tank,Abcc8
782,Cfh,Dmbt1
783,Zfp651,P2rx7
784,Tmem108,Mgam2-ps
785,Celf4,Tmem59l
786,Kras,Acox1
787,Dner,Htr2b
788,Cd84,Tspan2
789,Abcc6,Arhgap22
790,Ttll7,Utrn
791,Lifr,Itga9
792,Sectm1b,Lrrn2
793,Abcg2,Pirt
794,Zfp707,Slc2a3
795,Aebp1,Hspb2
796,C1qb,Hhatl
797,Shprh,Gm20939
798,Ms4a4c,Adig
799,Paqr7,Car8
800,C2cd2,C1ra
801,Cybb,Syngr1
802,Cd48,Rgs13
803,Sfrp4,Hoxa11os
804,Il10ra,Kif1a
805,Npy4r,Fam49a
806,E230001N04Rik,Mllt11
807,Mir142hg,Ttll10
808,Sema4d,Gm34030
809,Arhgef10l,2810004N23Rik
810,Vtn,Colec12
811,Ddx52,Fxyd3
812,Scgn,Scg2
813,Gm37305,Pan2
814,Ckm,G0s2
815,Nap1l5,Ddi2
816,Msrb3,Garnl3
817,Gimap5,Gnao1
818,Rassf5,Vav1
819,Stxbp1,Firre
820,Nhsl1,Faim2
821,Trim7,Rps6kb1
822,Lst1,Ssu2
823,Fgfr3,Cdk5rap2
824,Parp8,Zfand1
825,Zc3h8,Adipoq
826,Nkapd1,Stx18
827,Card11,9330158H04Rik
828,Bach2,Slc18a3
829,Ccr2,Elavl4
830,Smarcd3,Fxyd5
831,Adgrg3,Espl1
832,1010001B22Rik,Hacd4
833,Ccr10,Tubb5
834,Gin1,A630023A22Rik
835,Ccdc88a,Enah
836,Ewsr1,Gjc1
837,Mdfic,Ddah2
838,Slc22a17,Dmwd
839,Jmjd7,Myzap
840,Peli2,Mageh1
841,N4bp2os,Yeats2
842,Peg3,Kcnip1
843,Rab11fip2,Gm1965
844,Fabp1,Cap2
845,Lat2,Egflam
846,Ikzf2,Abraxas1
847,Ebf1,Aoc3
848,Clcf1,Dse
849,2510046G10Rik,Snca
850,Pik3ap1,Nos1
851,Scgb3a1,Mapt
852,Bcl2a1b,Ddr2
853,Tube1,Lyz2
854,Otulinl,Mmp17
