,GF,SPF
1928,Slc24a3,Clca4b
1929,Fabp4,Arrb2
1930,Pacsin3,Ppm1l
1931,Cherp,Vgf
1932,Vwf,Mlxipl
1933,Cps1,Mrvi1
1934,Bex2,Slc9a3r2
1935,Rhoc,Arhgap23
1936,Angptl7,Gpr132
1937,Ephb3,Tyrobp
1938,Gatm,Tgfbr2
1939,Hoxb5,Zfp58
1940,Hspb6,Hps4
1941,Resp18,Rab3b
1942,Akr1c19,Apol10a
1943,Alg14,Fcrl1
1944,S100b,Ckb
1945,Fam135a,Prkcb
1946,E2f2,Samsn1
1947,Tubb4a,Dcaf10
1948,Nsg2,Trim44
1949,Ace,Pls1
1950,Serpine2,Fut9
1951,Fam57a,Dpysl3
1952,Dmkn,Tia1
1953,Slit3,Gm15675
1954,Tspan9,Tnfrsf13c
1955,1700003I22Rik,Mtss2
1956,Fam98a,Igflr1
1957,Pamr1,Lmo7
1958,Pmp22,Pter
1959,Stab1,Rad50
1960,Trpv6,Polr3b
1961,Ppp1r15a,Ulk2
1962,Hba-a2,Cyp4f18
1963,Ache,Scml4
1964,Trim46,Prpf39
1965,Cotl1,Lpxn
1966,Cav3,Igf1r
1967,Flna,Tmed1
1968,Elovl5,Thbs3
1969,Mcub,Susd3
1970,Insrr,Plxnd1
1971,Rfc4,Cry1
1972,Zfhx3,Clec3b
1973,Snhg1,Dock2
1974,Scn7a,Pld4
1975,Mmp13,Adam8
1976,Kif5a,Alg11
1977,Hspe1,Rab34
1978,Mcoln2,Il16
1979,Lhfp,Mettl14
1980,Emp3,Mndal
1981,Hspbap1,Siglecg
1982,Fxyd2,Srgn
1983,Cald1,Guca2b
1984,Adgre1,Apol7c
1985,Zbtb20,Akna
1986,Gfi1,Phip
1987,Mcm6,E2f3
1988,B3galt2,Pan3
1989,Ccnb1,Armc1
1990,Slc30a7,Htr4
1991,Nsg1,Palm
1992,Wapl,Tmem173
1993,Smoc2,Ets1
1994,Trip6,Kmt5c
1995,Ccna2,Ankzf1
1996,Myom1,Mapk8ip1
1997,Cybrd1,Mill2
1998,Slco4a1,Setx
1999,Ceacam12,Sult1d1
2000,Matn2,Reln
2001,Mad2l1,Nhej1
2002,Kdr,Gm11946
2003,C3ar1,Apobec1
2004,Stt3a,Tspan32
2005,Rian,Sltm
2006,Fos,Rad52
2007,Snap25,Msc
2008,Col12a1,Des
2009,Klhl23,Rel
2010,Fbln5,Hoxb9
2011,Gng3,B9d2
2012,Tifa,Fendrr
2013,Prpf40b,Cr2
2014,Eml1,Pirb
2015,Pdgfrb,Prodh
2016,Mical1,Rbm4b
2017,Hemk1,Hand1
2018,Prune1,Irf5
2019,R3hdm1,Ly6a
2020,Tgm2,Nfat5
2021,Srsf2,Traf3ip3
2022,Klf6,Lyl1
2023,Uhrf1,Osbpl8
2024,Dixdc1,Leo1
2025,Chst12,Ttc9b
2026,Gask1b,Fbxl14
2027,Ly6c1,Gcnt2
2028,Il15,Yes1
2029,Tubb2b,Mylk
2030,Ncald,Sgsm2
2031,Pdlim7,Kcnk3
2032,Shisal1,Il7r
2033,Piezo1,Ptprd
2034,Slc39a13,Gimap4
2035,Arf2,Grap
2036,Calcb,Fer1l6
2037,Svep1,Wbp4
2038,Dennd2a,Rbpms2
2039,Zeb2,Hoxb13
2040,Duoxa2,Prlr
2041,Zcchc24,Lhfpl2
2042,Bicc1,Slc26a3
2043,Fxyd1,Gja4
2044,Kcnn4,Rprm
2045,Baz1b,Nlrc5
2046,Itm2a,Mga
2047,Ccl8,Dis3l
2048,Car3,Ldhb
2049,Gadd45g,Hoxa5
2050,Lrrk1,Ip6k2
2051,Igfbp4,Lrmp
2052,Tgfbr3,Lrg1
2053,Abi3bp,Acap1
2054,Ankrd28,Cd53
2055,Frmd6,Nom1
2056,Wnk4,Fes
2057,Pbk,Csf2rb
2058,2010003K11Rik,Cadm1
2059,Mcm3,Kbtbd11
2060,Pprc1,Fcrla
2061,Fmo1,Atoh1
2062,Dtx3,Pi16
2063,Gng10,Gm20522
2064,Tle1,Lyve1
2065,Ackr4,Eipr1
2066,Neurl4,Ly6h
2067,Irf4,Il2rg
2068,Acaca,Ptp4a3
2069,Kctd14,Taf12
2070,Tmem56,Gucd1
2071,C1s1,Ifit1
2072,Fibin,Slc7a4
2073,Slc12a4,Khk
2074,Entpd1,Fabp5
2075,Spns2,Polr3h
2076,Plk1,Gbp8
2077,Fxyd6,C2cd4b
2078,Sorcs2,Nudt3
2079,Tent5c,Ncf1
2080,Pltp,Blk
2081,Dbn1,Cxcr5
2082,Igf1,Aldh1a2
2083,Pea15a,Polm
2084,Col15a1,Kirrel
2085,Mab21l2,S1pr1
2086,Hhip,Foxf2
2087,Dusp14,Zdhhc17
2088,Kcnh2,Hvcn1
2089,Csrp1,Dctn5
2090,Dab2,Kat8
2091,Ltc4s,Foxk1
2092,Adamts10,Pde4b
2093,Pln,Gpc3
2094,St6galnac2,Camk2n2
2095,Slc43a3,Zfp512
2096,Aurkb,Itgb2
2097,Ptpro,Zfpm1
2098,Rtn2,Snn
2099,Smpx,Tapt1
2100,Hmgb2,Icam1
2101,Sh2d6,Amdhd2
2102,Hspb8,2900026A02Rik
2103,Ces1e,Baz1a
2104,Acvrl1,Fam219b
2105,Ccnb2,Egr1
2106,Plcb4,Ptger1
2107,Hdhd3,Nr4a1
2108,Pcdh7,Chrdl1
2109,1110051M20Rik,Ahnak2
2110,Nnmt,Rnf34
2111,Melk,Sell
2112,Prph,Cd36
2113,Snhg15,Pdzd8
2114,Dnmt1,Dtx1
2115,Glipr2,Akap8
2116,Nmu,Arhgap9
2117,Hsd11b1,Gm2a
2118,Rcc2,Acpp
2119,Mrc1,Ublcp1
2120,Sdc3,Rsbn1l
2121,Rapgef3,C330018D20Rik
2122,Sorbs2,Ccdc85c
2123,Mfap2,Lat
2124,Bhlhe41,Slpi
2125,Gnl3,Sntg2
2126,Mrc2,Madcam1
2127,Asph,Eps8
2128,C1qc,Dok1
2129,Rgmb,Lmo2
2130,Anxa6,Btla
2131,Klhdc8b,Gimap3
2132,Tbl3,Itgax
2133,Chrnb4,Lin37
2134,Racgap1,Ccl20
2135,Fzd9,Selplg
2136,Arhgef38,Ikzf1
2137,Hbb-bt,Gpr137b
2138,Ighg2b,Gpihbp1
2139,Thyn1,Jph2
2140,Tac1,Zzz3
2141,Actn1,A230059L01Rik
2142,Clip3,Nfkbie
2143,Fbln1,Lsp1
2144,Podxl,Pcdh17
2145,Selenon,Nts
2146,B3gnt6,Ccn2
2147,Lpcat1,Wfdc1
2148,Lgals12,Cxcl10
2149,Il6st,Nt5e
2150,2410002F23Rik,Scarf2
2151,Ezr,Acvr2a
2152,Adamdec1,Ccr7
2153,Slco2a1,Itgb7
2154,Dennd5a,Dok3
2155,Sirpa,Rac2
2156,Emilin1,Malat1
2157,Reg3g,Rasa4
2158,Atp1a2,Nrgn
2159,Mpp3,Slc25a37
2160,Cyp2c68,Gca
2161,AI838599,Fcer2a
2162,Galnt3,Hhex
2163,Matk,Med12
2164,Cd59a,Rasal3
2165,Loxl1,Ccl22
2166,Cavin1,Hcls1
2167,Cspg4,Pik3cb
2168,Pdlim3,Sh3tc1
2169,Nol6,Fosb
2170,Cryab,Gzma
2171,Pcsk1,Trbc1
2172,Smim1,Plekho1
2173,Galk1,Uvrag
2174,Sh3bgr,Mrtfb
2175,Trim47,Rfx1
2176,Glipr1,Slc27a2
2177,Islr,Rprml
2178,Gucy1a1,Slc9a2
2179,Pcp4,Sntb2
2180,Axl,Hoxb8
2181,Ecscr,Efna1
2182,Ffar2,Csta1
2183,Thrsp,Vpreb3
2184,Pik3c2a,Sppl2b
2185,Celf3,Thbs1
2186,Fcrls,Ltb4r1
2187,Cxxc5,Pbld1
2188,Mfap5,Kctd13
2189,Defb45,Lamb2
2190,Tmem37,Il22ra2
2191,F13a1,Gimap6
2192,Serpinf1,Ccl25
2193,Rbp1,Ghr
2194,Ltbp1,Clu
2195,Olfml3,Map4k1
2196,Cldn23,Iigp1
2197,Fcer1g,Tmem191c
2198,Kcnh3,Naip5
2199,Slc25a4,Srek1
2200,Ppp1r9a,Ctla2a
2201,Crispld2,Ppan
2202,B3gnt9,Vps33b
2203,Fstl1,Trim30d
2204,Tgfb1i1,Asb13
2205,Stk39,Zfp503
2206,Cftr,Icam2
2207,Noxa1,Dnase1l3
2208,Rbms2,H2-Q6
2209,Itm2c,Ms4a1
2210,Esam,Cd19
2211,Gpt2,Spib
2212,Cd34,Nkd1
2213,Unc93b1,Ciita
2214,Retn,1700025G04Rik
2215,Fbn1,Myo1g
2216,Naip1,Cldn12
2217,Fxyd7,Mpeg1
2218,Klc1,Birc3
2219,Pclaf,Shank3
2220,Pcolce,Sept1
2221,Casc4,Rfesd
2222,Dclk1,Mgat4a
2223,Sec16a,Oxr1
2224,Hilpda,Cd22
2225,Ptprn,Hlx
2226,B4galt5,Tff2
2227,Slc35d1,Tnrc6b
2228,Zfp217,Anpep
2229,Cfd,Ptprc
2230,Ogn,Pcp4l1
2231,Ncam1,Grik5
2232,Cacna1h,Rdh16
2233,Cmah,Trim21
2234,Procr,Trbc2
2235,Gm13648,Chdh
2236,Cartpt,Tinagl1
2237,Ehd2,Smndc1
2238,Lama5,Fam129a
2239,Hpn,Slfn2
2240,Rrm2,Bmp1
2241,Stom,H2-Ob
2242,Ugt2b5,Zgpat
2243,Knstrn,Hoxb4
2244,Gpam,Ncf4
2245,Tuba1b,Grem2
2246,Cnn1,K230015D01Rik
2247,Timp2,Pmaip1
2248,Tph1,Flt3l
2249,Ms4a7,Ddx60
2250,Tubb3,Gbp7
2251,Tspan6,Slc17a4
2252,Stmn1,Rasd2
2253,Ehd4,Sval1
2254,Gja1,Jakmip1
2255,Adra2a,Ly6g
2256,Myl9,Enpp2
2257,Gucy1b1,Egfl7
2258,Sidt1,H2-Oa
2259,Top2a,Vstm2l
2260,Dgat2,Malt1
2261,Rgs5,Ccdc88b
2262,Marveld1,Gamt
2263,Mki67,Pla2g2d
2264,Ifitm3,Fbxo22
2265,Cdk1,Ms4a8a
2266,Cdhr2,Fcmr
2267,Cdca7,Tbc1d10c
2268,Calb2,Atf3
2269,Hsdl2,Enpep
2270,Fgfr1,Rap1gap
2271,Slc6a14,Rab3a
2272,Auts2,Sipa1
2273,Ncoa7,Traf2
2274,Tmem164,Npc1l1
2275,Vip,AI854703
2276,Pla2g4c,C3
2277,Ass1,Ptpn6
2278,Cyp2f2,Fnbp1
2279,Acsm3,Mmp9
2280,Optc,Spag9
2281,Hepacam2,Insl6
2282,C1qtnf2,Adh1
2283,Sparcl1,5830408C22Rik
2284,Ptprs,Igtp
2285,Pitpnm1,Etv3
2286,Ano7,Slc13a2
2287,Aspn,Slc46a1
2288,Hkdc1,Pdlim5
2289,Abcg5,Sestd1
2290,Rpl4,Retnla
2291,Iapp,Metrn
2292,Tuba1a,Speg
2293,Bex1,Ube2d1
2294,Gsn,Cdkn1a
2295,Slc20a1,Hoxd13
2296,Col4a2,Arhgdib
2297,Penk,Tln1
2298,Tpd52l1,Pyy
2299,Serping1,Cd37
2300,S100a4,Pstk
2301,Pibf1,2410006H16Rik
2302,Itga5,Rnf213
2303,Mustn1,Pigv
2304,Fads1,Wdfy4
2305,Tnfrsf12a,Trim34a
2306,Serpinh1,Arhgap45
2307,Dkk3,Prkg2
2308,Birc5,Ankrd44
2309,Sgk2,Mfge8
2310,Sox9,Ttr
2311,Fndc1,Cd79a
2312,Chp1,Osr1
2313,Asap1,Dyrk1b
2314,C1qtnf3,Map1b
2315,Vill,Phlda3
2316,Acta2,Igfbp5
2317,Sult1a1,Ubd
2318,Rnf186,Mafb
2319,Fcna,Lcp1
2320,Stmn2,Igfbp3
2321,Cracr2a,Rogdi
2322,Reg3b,Ifi47
2323,Ccdc80,Fam162a
2324,Stmn3,Ccl21a
2325,Stc2,Nfix
2326,Ifrd1,Cfp
2327,Wfdc17,Ctxn1
2328,Impdh1,Pxdc1
2329,Ppard,Slc15a2
2330,Pcsk9,Pura
2331,Myh11,Kat2b
2332,Csf1r,Ighd
2333,H2-Q1,Bri3bp
2334,Lpin2,Acta1
2335,Emp1,Kdf1
2336,Pnliprp2,Klf2
2337,Clic6,Bambi
2338,E330009J07Rik,Irgm2
2339,Cd44,H2-DMb2
2340,Gcnt3,Fam50a
2341,Endod1,Cxcl13
2342,Ephb4,Atp12a
2343,Actg2,Lyz1
2344,Fads3,Phlpp2
2345,Rarres2,Slc3a1
2346,Aqp1,Sct
2347,Gpx3,Cbx1
2348,Ptgis,Lars2
2349,Chgb,Podxl2
2350,Tm4sf1,1600020E01Rik
2351,Hspb7,Col6a4
2352,Grp,Znrf1
2353,Krt20,Abat
2354,Utp20,Trpv3
2355,Etv5,Alpi
2356,Tnxb,Parp12
2357,Slc27a1,Rasef
2358,Rrm1,Sox18
2359,Insl5,H2-T3
2360,Csf1,Dock8
2361,Ecm1,Cyp2d9
2362,Mars,Apoc3
2363,Tspan13,Tmem236
2364,Car12,Eps8l2
2365,Mt3,Hpf1
2366,Mogs,Il4i1
2367,Vat1,Slc51b
2368,3100003L05Rik,Sh3gl1
2369,Gm15401,Clic5
2370,Ccl11,Lipe
2371,9230105E05Rik,Smtn
2372,Gpr20,Pdlim4
2373,Chka,Cd79b
2374,Cd177,Slc51a
2375,Tmem252,Napsa
2376,Plk3,Klf4
2377,Ceacam1,2310079G19Rik
2378,Uchl1,Slc13a1
2379,Iglv1,Asb2
2380,Snrpn,Rtl8a
2381,Mmp2,mt-Nd4l
2382,Sec11c,Apoa1
2383,Gm49980,Ceacam20
2384,Cbs,Irgm1
2385,Slc35a1,Hspa1b
2386,Dcn,Lrat
2387,Tpm2,Gtf2h4
2388,Cidec,Arrdc2
2389,Ceacam10,Taf6l
2390,Muc3a,Tmem158
2391,Sncg,H2-DMb1
2392,Hspg2,Tgm3
2393,Hbb-bs,Gimap1
2394,Olfml2b,Slc34a2
2395,Rnase4,Mier3
2396,Cbr2,Ccl17
2397,Syt7,Cd52
2398,Lpl,Cyp2d12
2399,Plet1,Rtl8b
2400,Ube2c,Cldn5
2401,H2-Q2,Tppp3
2402,Bglap3,Dmpk
2403,Lgals1,Sis
2404,Gm1123,Slc40a1
2405,Utp14b,Rtp4
2406,5330417C22Rik,2210407C18Rik
2407,Sgk1,Iqgap2
2408,Pdia5,Eif2s2
2409,Slc37a2,Ipmk
2410,Mia,Ramp2
2411,Col6a2,Hoxb6
2412,Kcne3,Baiap2l2
2413,Tmem140,Scnn1g
2414,Fbln2,Apoa4
2415,Hpd,Apoc2
2416,Als2cl,mt-Nd2
2417,Col6a3,1810026B05Rik
2418,Pqlc1,Slc15a1
2419,Fabp2,Cyp4b1
2420,Creb3l1,Tpm1
2421,Aldh1a1,Dek
2422,Per1,Bin1
2423,Tnc,Cnnm4
2424,Ifitm1,Ggh
2425,Mfap4,St3gal4
2426,Col1a1,Rasgrp2
2427,Slc50a1,Rhob
2428,Tubb2a,Clec2h
2429,Lum,Egln3
2430,Slc12a8,Slc6a19
2431,Meg3,H2-DMa
2432,Cela1,Ptprr
2433,Bgn,Car4
2434,Prom1,Gbp2
2435,AC149090.1,Igsf9
2436,Neat1,Ppp1r1a
2437,Pf4,Slc10a2
2438,Hsd3b3,Unc119
2439,Slc26a2,H2-Q7
2440,Sprr2a3,Isg15
2441,Gpd1,Tap1
2442,Vstm5,Noct
2443,Slc1a4,AA467197
2444,Ugdh,Ccng2
2445,Prnp,Smpdl3a
2446,Ccn3,Plac8
2447,Prap1,Oasl2
2448,Ifitm2,Hexb
2449,Chga,Sod3
2450,Col3a1,Cdhr5
2451,Col8a1,Slc6a8
2452,Col6a1,Ikbkb
2453,Aacs,Gm42031
2454,Hao2,Mep1b
2455,Sprr1a,Tgfbi
2456,Mgat4c,Ccl5
2457,St3gal6,Lama3
2458,Spdef,Plch2
2459,Hmgcs2,Neu1
2460,Capg,Limd2
2461,Mgp,Sult1b1
2462,Cpn1,Prss23
2463,Mettl7b,Gcg
2464,Hif1a,Cyp2d26
2465,Fa2h,Coro1a
2466,Postn,Zfp219
2467,Ces1d,Ifngr1
2468,Gsdmc3,Nrtn
2469,Tceal9,Tmem45b
2470,Fn1,Leng9
2471,Sst,Dut
2472,Ighm,Ltb
2473,Il18,Smim38
2474,Ces1g,Parp14
2475,Ly6m,Slc35f5
2476,Nxpe2,Ptprcap
2477,Pde2a,Apob
2478,Me1,Bmp2
2479,Muc4,Glrx
2480,Cd24a,Gcnt1
2481,Sparc,Ighg1
2482,Eno3,Rgcc
2483,Tns4,Lsm2
2484,Fkbp11,Ivns1abp
2485,Tnni1,Ace2
2486,Slc9a3,Nudt4
2487,Gsta3,Rfk
2488,B3gnt7,Psd
2489,1810065E05Rik,Igfbp7
2490,Angptl2,BC029722
2491,Col1a2,Fabp6
2492,Mzb1,Hmcn2
2493,Ggt1,Cyp2d34
2494,Gstk1,Cmtm7
2495,Ly6c2,Spi1
2496,Fut2,Cyp3a13
2497,Cldn15,Gm1673
2498,Sdcbp2,Fbxl8
2499,Ppy,Irf7
2500,Maged1,Zfp384
2501,Scd1,Sdf2l1
2502,Ccl6,Spon2
2503,Wfdc18,Exosc3
2504,Defb37,Fbxl22
2505,Clca4a,Upp1
2506,Dpep1,Nbl1
2507,Iglc3,2610528A11Rik
2508,Fasn,Hopx
2509,Cd81,Btg1
2510,Slc17a9,Bmp3
2511,Nupr1,Mep1a
2512,St3gal3,Mal
2513,Ces2e,Abhd17a
2514,Selenom,H2-Aa
2515,Slc30a10,Ctss
2516,Aqp4,Crlf2
2517,Higd1a,Mt2
2518,Txndc5,AW112010
2519,Sptssb,Mt1
2520,Ifi27l2a,Hpgd
2521,Sfn,Sord
2522,Cgref1,Cdkn2b
2523,Reg4,Cd74
2524,Gm5485,Pcsk1n
2525,Itln1,H2-Eb1
2526,Gprc5a,Fhl1
2527,Iglc2,Gm43305
2528,Ces2c,Cavin3
2529,S100a14,H2afx
2530,Ces1f,Selenop
2531,Wfdc2,Hspb1
2532,Clps,Rras
2533,Sycn,Cck
2534,Gpx2,Eva1b
2535,Cldn4,Ifit1bl1
2536,Aqp8,Snhg20
2537,Gsdmc2,H2-Ab1
2538,Retnlb,Pdzk1ip1
2539,Abcb1a,Spink1
2540,Jchain,Gm42418
2541,Gsdmc4,Apoe
2542,S100g,Cyp4f14
2543,Ang4,Rnaseh2c
2544,Iglc1,Ppp1r14a
2545,Ces2a,Tmem259
2546,Cyp2c55,Scand1
